"","Grupo","Animal","Region","Cluster","Number.per.cluster"
"1","AL","AL1","CA3","1",21
"2","AL","AL1","CA3","2",30
"3","AL","AL1","CA3","3",2
"4","AL","AL2","CA3","1",30
"5","AL","AL2","CA3","2",14
"6","AL","AL2","CA3","3",6
"7","AL","AL3","CA3","1",28
"8","AL","AL3","CA3","2",29
"9","AL","AL3","CA3","3",3
"10","AL","AL4","CA3","1",28
"11","AL","AL4","CA3","2",21
"12","AL","AL4","CA3","3",7
"13","AS","AS1","CA3","1",38
"14","AS","AS1","CA3","2",18
"15","AS","AS1","CA3","3",4
"16","AS","AS3","CA3","1",28
"17","AS","AS3","CA3","2",20
"18","AS","AS3","CA3","3",7
"19","AS","AS4","CA3","1",24
"20","AS","AS4","CA3","2",27
"21","AS","AS4","CA3","3",9
"22","AS","AS5","CA3","1",37
"23","AS","AS5","CA3","2",17
"24","AS","AS5","CA3","3",6
"25","CS","CS2","CA3","1",28
"26","CS","CS2","CA3","2",17
"27","CS","CS2","CA3","3",3
"28","CS","CS3","CA3","1",27
"29","CS","CS3","CA3","2",19
"30","CS","CS3","CA3","3",14
"31","CS","CS4","CA3","1",29
"32","CS","CS4","CA3","2",11
"33","CS","CS4","CA3","3",18
"34","CS","CS5","CA3","1",29
"35","CS","CS5","CA3","2",15
"36","CS","CS5","CA3","3",14
